original,recommended,recommended by random,similarity,similarity to random,
Starships (Prod. By RedOne) - Nicki Minaj,Get Out Of Your Mind (Tomer W Extended Mix)(100 BPM) - Lil' Jon Feat. LMFAO,Mi Hermosa (Official Radio Edit) - Dony ft. Alex Mica,0.166661904761905,0.271433333333333,
The Nights [Original Mix] [http://vk.com/newfreshmusicufa] - Avicii,Get Out Of Your Mind (Tomer W Extended Mix)(100 BPM) - Lil' Jon Feat. LMFAO,Mi Hermosa (Radio Edit) (2012)  - Dony ft. Alex Mica,0.161871428571429,0.276228571428571,
Waiting For Tiger Love (DJ CAL Bootleg) - Avicii ft John Legend vs R3hab,"Gold Skies (Original Mix) www.Only-Music.co.il - Sander Van Doorn, Martin Garrix & DVBBS feat. Aleesia","Oye Mi Canto (Intro Clean) - Nore ft Nina Sky, Daddy Yankee, Big Mato & Gem Star",0.206214285714286,0.133338095238095,
Rambo Love It (#RAGE EDIT) - Deorro x J-Trick x Icona Pop,םיאבכ ףלא - ןיזנב,Turn Me On (Mr Black Bootleg) - David Guetta Feat Nicki Minaj,0.556504761904762,0.2762,
I Love Sax (Icona Pop vs Lucky Date vs Tujamo Surprise Banger) - Anthem Kingz,םיאבכ ףלא - ןיזנב,"Cafe Del Mar 2016 (Dimitri Vegas & Like Mike Edit) - Futuristic Polar Bears, MATTN",0.270785714285714,0.2857,
How Deep Is Your Love (Hands Up Mash) (Clean) - Calvin Harris vs Ummet Ozcan,Blood Is Pumpin (R3hab's Ultra 2013 Peak Hour Anthem) - Anthem Kingz,Jump! (Original Mix) - Wolfpack & Bobby Puma,0.285709523809524,0.571423809523809,
Show Me (Intro - Dirty) - Sammie ft Ying Yang Twins,Fun (Damaged Goods Remix) - Pitbull Feat. Chris Brown,רופיסה לכ איה - רפסק רד לש תובנראה עפומ,0.17142380952381,0.161928571428571,
Loyal Bitch Better Have My Money (DJ Kontrol Blend / Dirty) - Rihanna x Chris Brown,Blood Is Pumpin (R3hab's Ultra 2013 Peak Hour Anthem) - Anthem Kingz,If Ya Getting'down - Five,0.166666666666667,0.24862380952381,
Lean On (BrainDeaD's Booty Bootleg) - Major Lazer & Dj Snake,Summertime - Daddy Yankee,"In My Mind feat. Georgi Kay (Axwell Mix) - Ivan Gough, Feenixpawl",0.176185714285714,0.161909523809524,
Roll (BrainDeaD's Booty Edit) - Johnny Roxx x Melloquence x Alison Hinds,Fun (Damaged Goods Remix) - Pitbull Feat. Chris Brown,Cali Love - Sabi Feat. Tyga,0.199995238095238,0.104761904761905,
Get Ugly (DIRTY) (No Transition) [VM EDIT] - Jason DeRulo,Que Tengo Que Hacer - Daddy Yankee,When You Were Young (Francis Mercier Remix) - The Killers,0.557133333333333,0.509523809523809,
Hey Ya - Sean Paul,Que Tengo Que Hacer - Daddy Yankee,Find It (Prod. By Di Genius) (2012)  - Sean Paul,0.276180952380952,0.357138095238095,
Uptown Funk - Mark Ronson Feat Bruno Mars,קיפסמ אל - שחנ גדה,Tell Me Is It True - UB40,0.261909523809524,0.100090476190476,
Play Hard (DJ OneF Intro) - David Guetta Ft. Ne-Yo & Akon,ןימסי - לוחכה ליפה,After Party (Dj Rukus Intro Edit) (Dirty) - AO Ft. Audio Push and Lamor,0.188552380952381,0.128571428571429,
Shot Me Down ( 2o14 ) [ www.MzHipHop.com ] - David Guetta Feat. Skylar Grey,הבהא לע םיקעוצ - היגרניס,Scream For Love (Dimitri Vegas & Like Mike Remix) - Natalie Yura,0.199880952380952,0.285709523809524,
"Bang My Head (GLOWINTHEDARK Remix) - David Guetta, Sia",Kesef (RooBen Edit) 87 Bpm - www.Dj-RooBen.Blogspot.com - Kyd & Axum,Lior yeyni Zeev Revcach Ili Gorlitzki Eli Cohen - Amichai (Sayarim 1967) - Israeli OST,0.228304761904762,0.209528571428571,
John Legend - All Of Me (Tiesto Electro Boost) - Jerry Wallis,Drop That Low (When I Dip) (Extended Mix) - Tujamo,Get Back (ASAP) (Original Mix) - Alexandra Stan,0.276190476190476,0.285709523809524,
Ayy Ladies (Transition 130 to 96 Bpm) - Travis Porter,Suit & Tie (Kingz vs Firebeatz Mainstage Bootleg) - Anthem Kingz,This Time (Original Mix) - Worthy,0.133776666666667,0.16191,
Shirt Control (BrainDeaD's Booty Bootleg).mp3 - T Pain VS Mr Carmack,Dark Horse (Tommy Tunez 'Big Foot' Edit) - Katy Perry Ft Juicy J,Love is in the air (M&S Vocal) - Milk & Sugar vs. J.P. Young,0.123828095238095,0.138137619047619,
Im Into You (Dj.D.Style & X-Mix Extended) {94 BPM} - Jennifer Lopez F Lil' Wayne,Zedd vs New World Sound & Thomas Newson - Stay The Flute Night (VINAI Edit) Only-Music.co.il - Only-Music.co.il,Ain't No Change ( 2o12 ) [ www.MzHipHop.Me ] - Compton Menace Feat. Wiz Khalifa,0.123765714285714,0.280962857142857,
Birthday' (Mordye More!) -100- - Will.I.Am Feat. Cody Wise,Zedd vs New World Sound & Thomas Newson - Stay The Flute Night (VINAI Edit) Only-Music.co.il - Only-Music.co.il,Broken Tonight (Hardwell Dutch Club Mix) - Armin van Buuren feat. VanVelzen,0.152342380952381,0.152380476190476,
Twerk It Like Miley (DJ Kobi M ShortCut Power Edit) - Brandon Beal ft. Christopher,Recess (Skrillex vs Fatman Scoop 128-104 Transition) - Anthem Kingz,Virus (How About Now) (Original Mix) - Martin Garrix & MOTi,0.276204761904762,0.161904761904762,
Gyal You A Party Animal (DJ Ron Margan Extended Mix) - Charly Black,Recess (Skrillex vs Fatman Scoop 128-104 Transition) - Anthem Kingz,The Lazy Song - Bruno Mars,0.271442857142857,0.221427619047619,
Daddy Yankee - Sigueme Y Te Sigo (Extended Mix) Dj Federico Alochis - Daddy Yankee,"Hachi Israeli Remix (with Hatikva 6, EZ, Nechi Nech) - Gal Goren & DJ Smiley",Try Me - Jason Derulo Feat. Jennifer Lopez & Matoma,0.266666666666667,0.285709523809524,
Policeman - Eva Simons ft. Konshens,Que Tengo Que Hacer - Daddy Yankee,Trumpets (CK Intro - Clean) - Jason Derulo,0.271442857142857,0.176162380952381,
Encore Numb (DJ Tzealon Twerk Remix) - Linkin Park & Jay Z ,Que Tengo Que Hacer - Daddy Yankee,Get Like Me - Nelly feat. Nicki Minaj & Pharrell,0.261914285714286,0.247618571428571,
Na na (DJ Tzealon) Dancehall Remix - Trey Songz,Want Your Body (2012)  - DJ Frank E ft. Sean Paul ft. DJ Buddha & Leftside,Ace Ventura And Zen Mechanics - Mind Equals God RedMusic.pl - Ace Ventura And Zen Mechanics,0.247614285714286,0.0904809523809524,
CHEERLEADER (DJ Tzealon Dancehall Remix) [Mastered] - OMI ,Ella Me Levanto - Daddy Yankee,Bella Vita (DJ Antoine Vs Mad Mark 2k13 Extended Mix) - DJ Antoine,0.285705714285714,0.166666666666667,
Sugar (Anthem Kingz Remix) CK Cut Clean - Maroon 5,Que Tengo Que Hacer - Daddy Yankee,Intoxicated (Kobe Bourne Remix) - Martin Solveig And Gta,0.190457142857143,0.285704761904762,
Runaway (U & I) (East & Young Remix) - Galantis,Ella Me Levanto - Daddy Yankee,Oops...I Did It Again - Britney Spears,0.16189619047619,0.147619047619048,
Rude - Zedd Remix - Magic!,Hotel' (Mordye More!) -103- - Kid Ink Feat. Chris Brown,אלפנ שדח םוי - ןמרב קירא,0.157138095238095,0.0500238095238095,
Right Now (Dyro Club Mix)  // [www.edmeXQlusiv.com] - Rihanna (feat David Guetta),Loco (Pachanga Rmx 2005) - Pachanga ft. J Del Alma y Rico Caliente ,םסק ןמז - ףורחס ירב & תודשא רהזי,0.161914285714286,0.261909523809524,
"Feel So Close (Deville 2015 Headliner Bootleg) Clean - Calvin Harris, Tiesto, KSHMR, Autoerotique, Max Styler","This Ones For You (Official Song UEFA EURO 2016) - David Guetta, Zara Larsson",Shakshooka (Tomer W Remix) 94 BPM - Buskilz,0.200004761904762,0,
